Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3158053,Bus Schedule,busschedule,,,,epic,,,"Nov 19, 2016",,,,To enable staff to add the Bus schedule,https://www.pivotaltracker.com/epic/show/3158053,,,,,,,,,,,,,,
3158031,Payment,payment,,,,epic,,,"Nov 19, 2016",,,,This module enable customer to make ticket payment,https://www.pivotaltracker.com/epic/show/3158031,,,,,,,,,,,,,,
3158019,Login,login,,,,epic,,,"Nov 19, 2016",,,,This module enable customer to login to their profile.,https://www.pivotaltracker.com/epic/show/3158019,,,,,,,,,,,,,,
3157971,Booking,booking,,,,epic,,,"Nov 19, 2016",,,,This module enable customer to book ticket,https://www.pivotaltracker.com/epic/show/3157971,,,,,,,,,,,,,,
134637159,Login to Main Menu,login,1,"Nov 19, 2016","Dec 12, 2016",feature,1,accepted,"Nov 19, 2016","Dec 14, 2016",,Jack Fire,"As a customer,  I should able to login to the system in order to be eligible for promotion and get updated about the bus schedule.",https://www.pivotaltracker.com/story/show/134637159,,,JIE HAN CHONG,,Get username and password.,completed,Verify username and password from the database.,completed,Display main menu.,completed,,,,
134637089,Edit profile,login,1,"Nov 19, 2016","Dec 12, 2016",feature,1,accepted,"Nov 19, 2016","Dec 14, 2016",,Jack Fire,"As a customer , I should able to edit the profile so that I can update my information when there is any changes.",https://www.pivotaltracker.com/story/show/134637089,,,JIE HAN CHONG,,Retrieve customer information from the database.,completed,Update the customer information in the database.,completed,Edit the customer information.,completed,,,,
134636907,Delete Ticket,booking,1,"Nov 19, 2016","Dec 12, 2016",feature,2,accepted,"Nov 19, 2016","Dec 14, 2016",,JIE HAN CHONG,"As a customer, I should be able to cancel my ticket within a week time before the departure date and get a refund so that I would not be wasting my money. ",https://www.pivotaltracker.com/story/show/134636907,,,JIE HAN CHONG,,Retrieve customer booked ticket information from the database.,completed,Choose a booked ticket to be cancelled.,completed,Check the duration between current date and date of departure.,completed,Update the seat availability in the database.,completed,Delete the booking information from the database.,completed
134636761,View Ticket,booking,1,"Nov 19, 2016","Dec 12, 2016",feature,1,accepted,"Nov 19, 2016","Dec 14, 2016",,JIE HAN CHONG,"As a customer, I should be able to view my current booking information so that I am able to download and use it as a boarding pass.",https://www.pivotaltracker.com/story/show/134636761,,,JIE HAN CHONG,,Retrieve customer specified booking information from the database.,completed,Display the booking information to the customer.,completed,,,,,,
134636609,Update Ticket,booking,1,"Nov 19, 2016","Dec 12, 2016",feature,2,accepted,"Nov 19, 2016","Dec 14, 2016",,alvin khor,"As a customer, I should be able to change my ticket details a week before the date of departure. This can provide convenience to me as I can choose a more suitable date and time.",https://www.pivotaltracker.com/story/show/134636609,,,alvin khor,JIE HAN CHONG,Retrieve booked ticket information from the database,completed,Reselect booking details,completed,Check availability of the reselected booking information,completed,Update booking details into the database,completed,,
134636471,Book Ticket,booking,1,"Nov 19, 2016","Dec 12, 2016",feature,3,accepted,"Nov 19, 2016","Dec 14, 2016",,alvin khor,"As a customer, I should be able to book a bus ticket in order to travel to other places",https://www.pivotaltracker.com/story/show/134636471,,,alvin khor,JIE HAN CHONG,Display list of available travel location ,completed,Choose booking details,completed,Retrieve bus seat availability from database,completed,Book bus seat(s),completed,Update booking information into the database,completed
134638013,Cancel Payment,payment,2,"Dec 12, 2016","Dec 25, 2016",feature,3,accepted,"Nov 19, 2016","Dec 23, 2016",,Kenn Chew,"As a customer, I should be able to cancel my ticket payment within a week time before the departure date and get a refund if I wish to cancel the travel. ",https://www.pivotaltracker.com/story/show/134638013,,,Kenn Chew,,Retrieve customer payment ticket information from the database.,completed,Choose a paid ticket to be cancelled,completed,Cancel the payment information from the database,completed,Update the seat availability and payment information in the database,completed,,
134637967,View Payment History,payment,2,"Dec 12, 2016","Dec 25, 2016",feature,3,accepted,"Nov 19, 2016","Dec 23, 2016",,Kenn Chew,"As a customer, I should be able to view my payment history so that I am able to refer and check back my every transactions.",https://www.pivotaltracker.com/story/show/134637967,,,Chun Hui,,Select the date of the payment transaction,completed,Retrieve customer specified date payment information from the database ,completed,Display the payment information to the customer,completed,,,,
134637959,Make Payment,payment,2,"Dec 12, 2016","Dec 25, 2016",feature,3,accepted,"Nov 19, 2016","Dec 23, 2016",,Kenn Chew,"As a customer, I should be able to make ticket payment in order to purchase the ticket",https://www.pivotaltracker.com/story/show/134637959,,,Jack Fire,,Display the payment summary of the ticket.,completed,Select the payment method and fill in the payment details,completed,Check and confirm the payment details,completed,Pay the ticket transaction,completed,Update payment information into the database,completed
134638319,Update Bus Schdule,busschedule,3,"Dec 25, 2016","Jan 9, 2017",feature,3,unstarted,"Nov 19, 2016",,,Chun Hui,"As a staff , I should able to edit the bus schedule information if there's any changes to the schedule. This is to make sure the information of bus schedule is always correct.",https://www.pivotaltracker.com/story/show/134638319,,,Chun Hui,,Retrieve the bus schedule from the database,not completed,Select which bus schedule want to update from the database,not completed,Edit the details of the bus schedule,not completed,Update the bus schedule into the database,not completed,,
134638267,View Bus Schedule,busschedule,3,"Dec 25, 2016","Jan 9, 2017",feature,3,unstarted,"Nov 19, 2016",,,Chun Hui,"As a staff, I should able to view the ongoing bus schedule so that I can know the number of passenger for that specific bus trip.",https://www.pivotaltracker.com/story/show/134638267,,,alvin khor,,Display all bus schedule from the database,not completed,Select the specific bus schedule from the database.,not completed,Display the selected bus schedule information.,not completed,,,,
134638369,Add Bus Schedule,busschedule,3,"Dec 25, 2016","Jan 9, 2017",feature,3,unstarted,"Nov 19, 2016",,,Chun Hui,"As a staff, I should be able to add a new bus schedule so that the tickets can be sell to customers who want to travel to other places.",https://www.pivotaltracker.com/story/show/134638369,,,JIE HAN CHONG,,Display the add bus schedule form,not completed,Fill in all the bus schedule information,not completed,Updatethe bus schedule information into the database,not completed,,,,
